id,authors,keyword,Date,Reactions,COMMENT,Share,content
1,Theanh28 Entertainment,bão koinu,2025-10-07,385,0,34,"Trung Quốc cảnh báo bão Koinu...
Trung Quốc cảnh báo bão Koinu..."
2,Truyền hình Hậu Giang,bão koinu,2025-10-06,1100,0,70,"Bão Koinu gây mưa giông diện rộng
#reelsfb #reelsviral
Bão Koinu gây mưa giông diện rộng
#reelsfb #reelsviral"
3,Truyền hình Hậu Giang,bão koinu,2025-10-03,489,0,39,"Bão Koinu sắp vào biển đông, cường độ rất
mạnh...
Bão Koinu sắp vào biển đông, cường độ rất
mạnh

#reels #Koinu #biểnđông #bão"
4,Hán-Việt Thông Dụng,bão koinu,2025-11-28,56,6,5,"Album Bão Tây Bắc Thái Bình Dương
Hán-Việt Thông Dụng added a new
photo.
Nov 28

[Bão Tây Bắc Thái Bình Dương]

TEMBIN

Gốc: tiếng Nhật
Đề xướng: Nhật Bản
Hán tự: 天秤
Kana: てんびん
Latin hoá: te-n-bi-n
Âm Hán-Việt: Thiên Bình / Thiên Xứng

Các tên bão do Nhật Bản lựa chọn là tên các
chòm sao (trong số 88 chòm sao hiện đại) theo
cách gọi của người Nhật. Tên bão Tembin dựa
trên tên chòm sao ""Ten-bin"" 天秤 (tiếng Latin:
Libra) mà ta gọi là Thiên Bình (天平) hay Thiên
Xứng (天秤) nghĩa là cái cân (""libra"" nghĩa là cái
cân), với âm ""n"" ん bị ""môi hoá"" thành ""m"" do
đứng trước âm ""b"". Tên bão Tembin bị loại bỏ
sau năm 2017, thay thế bằng tên bão Koinu
(kana: こいぬ; kanji: 子犬) nghĩa là chó con, là
tên tiếng Nhật của chòm sao Canis Minor mà ta
gọi là Tiểu Khuyển (小犬) theo tiếng Trung
Quốc.

Cái cân ngày xưa dựa theo nguyên tắc so sánh
vật cần cân với các quả cân chuẩn đã biết khối
lượng, khi hai bên của cân đạt trạng thái cân
bằng thì ta xác định được khối lượng của vật
cần cân. Chữ 秤 ghép bộ ""hoà"" 禾 (lúa) với chữ
""bình"" 平 (bằng), do đó có thể xem nó như chữ
hình thanh mà đọc theo âm ""bình"", và ý nghĩa
cái cân phù hợp với khái niệm cân bằng.

Chữ 秤 lại là dị thể của ""xứng"" 称 / 稱 nên ta
thường dùng âm ""xứng"". Chữ 稱 có hai âm là
""xưng"" và ""xứng"". ""Xưng"" 稱 là hành động cân
để biết nặng nhẹ, hay là xưng hô, danh xưng.
""Xứng"" 稱 là cân xứng với nhau, và cũng có
nghĩa là cái cân.

Cả hai tổ hợp ""thiên bình"" 天平 / 天秤 và ""thiên
xứng"" 天秤 đã được sử dụng lâu đời trong Hán
ngữ để chỉ cái cân. ""Thiên"" 天 ta thường hiểu là
trời, nó cũng thể hiện ý tự nhiên mà có (xem
như do trời), hoặc là chuẩn mực như trời đã
định (trời được xem là rất công bằng). ""Nam
Việt-Dương Hiệp Tự vị"" 南越洋合字彙
(Dictionarium Anamitico-Latinum) bản mang in
của Jean-Louis Taberd (1838) ghi nhận ở mục
""vòng"" cách đọc 天秤 là ""thiên bình"" thay vì
""thiên xứng"":

- vòng huình đạo 黃道, zodiaci circulus.

- vòng huình đạo có mười hai cung; duodecim
sunt zodiaci signa, scilicet:

 Bạch dương cung 白羊宮, Aries. 
 Tuất cung 戌宮, id. (""id."" là viết tắt tiếng Latin
""idem"" nghĩa là tương tự, ý nói nghĩa giống như
trên)

 Kim ngưu cung 金牛宮, Taurus. 
 Dậu cung 酉宮, id.

 Song nhi cung 雙兒宮, Gemini. 
 Thân cung 申宮, id.

 Cự giải cung 拒蟹宮, Cancer.  (ta viết chuẩn
là 巨蟹宮)
 Mùi cung 未宮, id.

 Sư tử cung 獅𤜭宮, Leo.  (ta viết chuẩn là
獅子宮)
 Ngọ cung 午宮, id.

 Thất nữ cung 室女宮, Virgo. 
 Tị cung 巳宮, id.

 Thiên bình cung 天秤宮, Libra. 
 Thìn cung 辰宮, id.

 Thiên yết cung 天蝎宮, Scorpius.  (dị thể
天蠍)
 Mẹo cung 卯宮, id.

 Nhơn mã cung 人馬宮, Sagittarius. 
 Dần cung 寅宮, id.

 Ma kiết cung 摩羯宮, Capricornus.  (nay ta
đọc ""Ma Kết"")
 Sửu cung 丑宮, id.

 Thiết bình cung 竊瓶宮, Amphora. 
 Tí cung 子宮, id.

 Song ngư cung 雙魚宮, Pisces. 
 Hợi cung 亥宮, id.

Giải thích một số tên gọi cũ:

- ""song nhi"" 雙兒 nghĩa là 2 đứa trẻ

- “thất” 室 là cái phòng, cái nhà, nên “thất nữ”
室女 dùng để nói về người con gái còn ở nhà
chưa lấy chồng

- ""thiết"" 竊 là trộm cắp, ""thiết bình"" 竊瓶 nghĩa là
cái bình bị đánh cắp, ""amphora"" tiếng Latin là
cái vò có 2 quai (của Hi Lạp, La Mã).

Các cung hoàng đạo còn lại tương tự cách gọi
trong tiếng Việt ngày nay. Ở thời điểm biên soạn
từ điển, ta thấy ở miền Nam đã có tục nói tránh
""hoàng"" 黃 thành ""huỳnh"" (cũng như họ ""Hoàng""
黃 thành họ ""Huỳnh""). Ta cũng thấy hệ thống
cung hoàng đạo phương Tây còn được ""ánh
xạ"" vào hệ thống ""thập nhị chi"" 十二支 của vùng
văn hoá Hán tự, nhưng theo chiều ngược lại.

- Ung Chu -

--
Hệ thống tên các bão ở Tây Bắc Thái Bình
Dương được đóng góp bởi các thành viên (theo
thứ tự alphabet tiếng Anh) gồm: Cambodia
(Campuchia), China (Trung Quốc), DPR Korea
(Triều Tiên), Hong Kong, Japan (Nhật Bản),
Laos (Lào), Macau (Macao), Malaysia,
Micronesia, Philippines, RO Korea (Hàn Quốc),
Thailand (Thái Lan), United States (Hoa Kì),
Vietnam (Việt Nam)."
5,DBC News #Shorts,bão koinu,2025-10-07,6,0,190,"Bão Koinu quét qua Đài Loan với mưa lớn, 190
người bị thương
Bão Koinu quét qua Đài Loan với mưa lớn, 190
người bị thương"
6,Thái Dương,bão koinu,2025-10-25,12,0,4,"Piano

Bão Koinu
Bão Koinu"
7,Truyền hình Hậu Giang,bão koinu,2025-10-04,784,0,44,"Bão Koinu sắp đổ bộ biển Đông, cường độ rất
mạnh...
Bão Koinu sắp đổ bộ biển Đông, cường độ rất
mạnh
#reelsfb #reelsviral"
8,CUỘC SỐNG HIỆN ĐẠI,bão koinu,2025-10-13,37,0,1,"Bão Koinu tàn phá đảo Đài Loan, Trung Quốc
#bao #thamhoa #thientai #koinu #trungquoc...
Bão Koinu tàn phá đảo Đài Loan, Trung Quốc
#bao #thamhoa #thientai #koinu #trungquoc
#china"
9,Xôi Nạc,bão koinu,2025-11-12,5,0,1,"Một hình ảnh đang được chia sẻ rộng rãi ghi lại
khoảnh khắc những người đàn ông mỉm cười
khi chạy tìm nơi an toàn trong cơn bão Uwan
(Koinu). Nụ cười nhẹ nhõm sau phút vội vã ấy
khiến nhiều người dừng lại vài giây để nhìn.
 Không phải họ coi nhẹ thời tiết, mà đơn giản là
cảm giác vừa qua khỏi một tình huống căng
thẳng đã khiến ai cũng bật cười động viên
nhau.
 Ngay cả trong lúc di chuyển giữa thời tiết
không thuận lợi, họ vẫn giữ được tinh thần lạc
quan – điều mà nhiều người vẫn xem là nét đẹp
quen thuộc của Philippines: kiên cường, ấm áp
và luôn tìm thấy lý do để mỉm cười.

#TinhThanPhilippines #NuCuoiVuotBao"
10,Chu Thuy,bão koinu,2025-10-10,76,32,2,"ĐN ngày bão Koinu nhưng vẫn đảm bảo hành
trình"
